Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 4, 40, -8.1
Query 2, 2, 20, -39.0
Query 3, 2, 20, -19.0
Query 4, 5, 50, -3.5
Query 5, 1, 10, 0.0
Query 6, 4, 40, -9.1
Query 7, 1, 10, 0.0
Query 8, 2, 20, -84.0
Query 9, 3, 30, -13.0
Query 10, 3, 30, -3.5
Query 11, 2, 20, -25.0
Query 12, 4, 40, -2.3
Query 13, 4, 40, -3.5
Query 14, 1, 10, 0.0
Query 15, 5, 50, -2.95
Query 16, 3, 30, -29.25
Query 17, 3, 30, -12.0
Query 18, 3, 30, -21.25
Query 19, 2, 20, -73.0
Query 20, 4, 40, -8.5
Query 21, 6, 60, -2.2285714285714286
Query 22, 2, 20, -19.0
Query 23, 4, 40, -12.0
Query 24, 6, 60, -3.5142857142857142
Query 25, 2, 20, -4.0
Query 26, 1, 10, 0.0
Query 27, 3, 30, -9.5
Query 28, 1, 10, 0.0
Query 29, 1, 10, 0.0
Query 30, 5, 50, -4.55
Query 31, 4, 40, -6.3
Query 32, 3, 30, 0.0
Query 33, 3, 30, -20.5
Query 34, 5, 50, -0.55
Query 35, 4, 40, -8.5
Query 36, 4, 40, -2.0
Query 37, 4, 40, -0.8
Query 38, 6, 60, -1.0857142857142859
Query 39, 5, 50, -7.449999999999999
Query 40, 3, 30, -15.25
Query 41, 3, 30, -16.5
Query 42, 1, 10, 0.0
Query 43, 0, 0, 0.0
Query 44, 4, 40, -11.2
Query 45, 2, 20, -116.0
Query 46, 6, 60, -5.771428571428571
Query 47, 3, 30, -1.75
Query 48, 0, 0, 0.0
Query 49, 4, 40, -5.6
Query 50, 3, 30, -10.25
Query 51, 5, 50, -5.05
Query 52, 3, 30, -16.25
Query 53, 2, 20, -36.0
Query 54, 4, 40, -7.1
Query 55, 5, 50, -2.15
Query 56, 1, 10, 0.0
Query 57, 2, 20, 0.0
Query 58, 3, 30, -9.25
Query 59, 4, 40, -1.2000000000000002
Query 60, 2, 20, -25.0
Query 61, 3, 30, -12.25
Query 62, 3, 30, -1.5
Query 63, 1, 10, 0.0
Query 64, 0, 0, 0.0
Query 65, 1, 10, 0.0
Query 66, 2, 20, -3.0
Query 67, 0, 0, 0.0
Query 68, 5, 50, -2.7
Query 69, 2, 20, -8.0
Query 70, 2, 20, -52.0
Query 71, 8, 80, -0.7023809523809523
Query 72, 1, 10, 0.0
Query 73, 1, 10, 0.0
Query 74, 4, 40, -4.5
Query 75, 2, 20, -12.0
Query 76, 6, 60, -2.5714285714285716
Query 77, 2, 20, -3.0
Query 78, 4, 40, -2.0
Query 79, 5, 50, -4.3
Query 80, 4, 40, -10.7
Query 81, 0, 0, 0.0
Query 82, 3, 30, -2.5
Query 83, 4, 40, -4.3
Query 84, 0, 0, 0.0
Query 85, 2, 20, -57.0
Query 86, 2, 20, -24.0
Query 87, 2, 20, -15.0
Query 88, 4, 40, -4.0
Query 89, 5, 50, -1.7999999999999998
Query 90, 4, 40, -2.8
Query 91, 1, 10, 1.0
Query 92, 2, 20, -4.0
Query 93, 2, 20, -12.0
Query 94, 4, 40, -2.8
Query 95, 1, 10, 0.0
Query 96, 1, 10, 0.0
Query 97, 2, 20, -36.0
Query 98, 3, 30, 0.5
Query 99, 5, 50, -4.25
Query 100, 3, 30, -9.75
Averages, 2.93, 29.3, -10.411738095238094